trace,source,receiver,offset,cmp,file,shot
1,36.0,1.0,1.0,36.0,3011.dat,3011
2,36.0,1.0,1.0,36.0,3012.dat,3012
3,36.0,3.0,3.0,36.0,3012.dat,3012
4,36.0,3.0,3.0,36.0,3013.dat,3013
5,36.0,5.0,5.0,36.0,3012.dat,3012
6,36.0,5.0,5.0,36.0,3013.dat,3013
7,36.0,7.0,7.0,36.0,3013.dat,3013
8,36.0,7.0,7.0,36.0,3014.dat,3014
9,36.0,9.0,9.0,36.0,3013.dat,3013
10,36.0,9.0,9.0,36.0,3014.dat,3014
11,36.0,11.0,11.0,36.0,3014.dat,3014
12,36.0,11.0,11.0,36.0,3015.dat,3015
13,36.0,13.0,13.0,36.0,3014.dat,3014
14,36.0,13.0,13.0,36.0,3015.dat,3015
15,36.0,15.0,15.0,36.0,3015.dat,3015
16,36.0,15.0,15.0,36.0,3016.dat,3016
17,36.0,17.0,17.0,36.0,3015.dat,3015
18,36.0,17.0,17.0,36.0,3016.dat,3016
19,36.0,19.0,19.0,36.0,3016.dat,3016
20,36.0,19.0,19.0,36.0,3017.dat,3017
21,36.0,21.0,21.0,36.0,3017.dat,3017
22,36.0,23.0,23.0,36.0,3018.dat,3018
