4.00
10/Sep/2025	14:53:39	8000
2.00	4.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12
-259.052490234375	-1950.13171386719	-303.218048095703	-1666.53576660156	-227.847106933594	758.194396972656	288.103179931641	-548.923950195312	297.0390625	-168.624069213867	-176.253204345703	-106.659507751465
-234.539306640625	-3018.34887695312	-317.753601074219	-1646.80700683594	-212.525054931641	657.744262695312	252.357315063477	-515.507873535156	289.772247314453	-152.470733642578	-113.117729187012	-121.924011230469
-298.662841796875	-5563.36669921875	-337.892059326172	-1599.79968261719	-198.9091796875	550.544372558594	237.485427856445	-504.439727783203	304.254272460938	-120.190986633301	-15.4748258590698	-134.613418579102
-364.338043212891	-5405.6298828125	-319.436492919922	-1529.81530761719	-186.437103271484	436.217498779297	245.904495239258	-446.274017333984	303.327301025391	-126.249526977539	68.0122680664062	-129.80241394043
-341.381958007812	-3751.98559570312	-313.995727539062	-1474.90295410156	-120.690704345703	331.870574951172	210.839950561523	-464.512481689453	327.770416259766	-136.031677246094	142.471694946289	-135.399047851562
-454.433013916016	-3525.5771484375	-354.125305175781	-1398.29333496094	-68.7749633789062	209.014724731445	179.200210571289	-441.137847900391	347.269470214844	-103.425888061523	178.336669921875	-169.037658691406
-361.331237792969	-6090.8828125	-370.746551513672	-1332.33837890625	-50.9717597961426	82.6741943359375	163.14208984375	-370.351776123047	323.315032958984	-83.4384384155273	208.899658203125	-174.104690551758
-249.128005981445	-9419.2451171875	-370.746826171875	-1288.85083007812	-43.065055847168	-42.7736740112305	138.945175170898	-406.552917480469	298.006683349609	-71.3907089233398	217.260513305664	-195.656814575195
-36.8417358398438	-10647.7744140625	-372.090148925781	-1186.22229003906	-44.4576683044434	-194.255142211914	135.147369384766	-370.170867919922	252.367050170898	-41.5472145080566	204.357818603516	-208.382995605469
-119.318778991699	-12078.7587890625	-360.555694580078	-1104.15563964844	-14.9213991165161	-312.099639892578	137.708129882812	-353.539154052734	197.554290771484	-17.0604953765869	212.187652587891	-200.395812988281
-2609.08520507812	-9455.634765625	-331.947814941406	-1088.36901855469	-2.52403163909912	-434.285919189453	125.597984313965	-374.718505859375	195.599533081055	-10.3575925827026	203.963119506836	-204.042724609375
-9905.3837890625	-913.302368164062	-322.273559570312	-1081.85412597656	2.97698211669922	-571.907104492188	91.279426574707	-330.518615722656	123.439109802246	23.3625602722168	175.331176757812	-217.335556030273
-23493.19140625	11091.03515625	-294.716918945312	-1087.97521972656	-2.27281165122986	-720.811462402344	58.4578094482422	-334.653228759766	46.5657577514648	70.1495132446289	119.76294708252	-205.174423217773
-34296.94921875	22713.49609375	-268.635925292969	-1088.28857421875	-29.5136871337891	-867.411804199219	24.1461200714111	-373.462036132812	56.0636520385742	73.088508605957	88.5863189697266	-176.989501953125
-35854.66015625	28519.91796875	-301.446960449219	-1036.85021972656	-15.4106979370117	-1000.26971435547	2.73886752128601	-426.895812988281	23.1442642211914	76.1603012084961	60.2726440429688	-182.893524169922
-43407.86328125	39355.48828125	-388.872283935547	-914.934204101562	-5.44453477859497	-1137.48791503906	-14.1916694641113	-417.442626953125	1.78098976612091	91.7010726928711	20.4998054504395	-150.209869384766
-61641.41015625	68021.8515625	-529.642028808594	-759.085571289062	-11.8023290634155	-1242.80725097656	-66.5645904541016	-414.331573486328	-37.9623641967773	121.23681640625	1.75212335586548	-125.430847167969
-74206.2578125	121966.0859375	-653.128295898438	-656.821655273438	2.55823922157288	-1362.22680664062	-93.9857559204102	-493.108032226562	-81.4258575439453	143.685974121094	-47.3867988586426	-103.435958862305
-74330.984375	186321.328125	-793.383117675781	-605.33544921875	13.595516204834	-1450.83618164062	-124.061386108398	-526.435607910156	-68.3224792480469	128.718124389648	-76.9236221313477	-72.0257110595703
-59872.64453125	246905.640625	-937.991638183594	-558.884582519531	22.9802532196045	-1499.13903808594	-183.596130371094	-520.786010742188	-89.1653442382812	137.44889831543	-60.0094337463379	-89.6143112182617
-27918.01171875	304419.34375	-1049.64880371094	-547.699157714844	25.0148830413818	-1555.93078613281	-213.275283813477	-539.231201171875	-95.0842514038086	167.059585571289	-85.2663726806641	-90.5905380249023
15467.9443359375	368438.09375	-1139.689453125	-572.147766113281	10.0213184356689	-1555.8447265625	-252.672760009766	-519.401000976562	-92.6976165771484	154.339797973633	-131.695373535156	-95.7519073486328
51589.1328125	463299.59375	-1203.25622558594	-620.228576660156	17.7924365997314	-1545.55639648438	-256.629974365234	-491.859375	-139.65998840332	120.984664916992	-140.763626098633	-104.932342529297
68775.1640625	524186.5625	-1256.17858886719	-638.425354003906	23.8589267730713	-1511.8720703125	-296.988006591797	-483.495849609375	-153.311538696289	117.023292541504	-154.548889160156	-101.219802856445
71413.671875	522222.59375	-1228.15209960938	-571.598083496094	2.8450825214386	-1433.17395019531	-357.070709228516	-466.918060302734	-146.443542480469	101.16480255127	-152.606842041016	-105.953964233398
68198.4765625	522419.15625	-1133.05212402344	-447.532379150391	-23.3576412200928	-1388.32397460938	-325.663665771484	-470.131530761719	-154.950668334961	99.7371978759766	-138.087295532227	-84.7171783447266
65285.51953125	523360.34375	-1035.892578125	-296.528656005859	-38.8715629577637	-1327.40087890625	-342.342895507812	-429.183563232422	-130.068496704102	120.935165405273	-158.524337768555	-108.441802978516
71129.390625	521944.65625	-914.53564453125	-154.136596679688	-65.641975402832	-1242.32653808594	-357.921173095703	-439.010620117188	-125.219741821289	93.0784301757812	-171.459396362305	-125.753898620605
113564.6875	523370.09375	-787.021179199219	-114.15714263916	-124.410202026367	-1138.955078125	-371.311401367188	-442.107421875	-132.092071533203	56.3704223632812	-169.722091674805	-95.9182739257812
182318.75	522184.15625	-657.7880859375	-246.124969482422	-123.923179626465	-1043.21069335938	-388.100433349609	-377.529418945312	-125.347999572754	33.9888763427734	-198.094970703125	-98.4523239135742
312000.0625	522971.59375	-513.521118164062	-400.211395263672	-126.606948852539	-955.598266601562	-391.603485107422	-339.864166259766	-131.715148925781	19.5488052368164	-227.31315612793	-92.0217514038086
476567.4375	522562.65625	-406.415313720703	-443.891448974609	-188.169830322266	-837.780395507812	-418.963684082031	-284.071166992188	-159.767807006836	19.1038246154785	-230.709030151367	-107.1220703125
524054.875	522639.59375	-294.029876708984	-306.560119628906	-165.825866699219	-732.132568359375	-406.963897705078	-270.632568359375	-170.081573486328	-24.5666446685791	-215.710739135742	-108.953483581543
511955.46875	522711.40625	-128.97477722168	14.4570903778076	-153.401565551758	-629.412292480469	-429.844970703125	-233.623275756836	-150.462142944336	-77.1536636352539	-208.496887207031	-112.814147949219
518806.6875	522482.71875	-0.784701466560364	279.005981445312	-203.950469970703	-563.558959960938	-446.847290039062	-166.876541137695	-171.992034912109	-75.5012588500977	-251.918807983398	-155.565780639648
514935.21875	522686.4375	98.0811080932617	393.511291503906	-207.725814819336	-450.963714599609	-442.755615234375	-149.011917114258	-183.309051513672	-117.216194152832	-268.588653564453	-161.987899780273
516685.4375	522723.28125	185.549545288086	293.207672119141	-220.870651245117	-331.010589599609	-454.784210205078	-81.04931640625	-190.643142700195	-154.431015014648	-271.247131347656	-143.084350585938
