8.00
10/Sep/2025	14:53:39	8000
2.00	8.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20
-458.347839355469	-967.786804199219	100.725357055664	-468.074768066406	801.420104980469	334.710540771484	337.088012695312	-402.190887451172	-126.66374206543	76.3081436157227	71.5659637451172	452.695739746094	-37.6516304016113	627.824829101562	487.300537109375	-211.271301269531	25.6535205841064	-111.073036193848	6.98783922195435	-83.8793029785156
-327.109405517578	-1063.89221191406	55.3786773681641	-397.709442138672	795.869018554688	431.146118164062	353.70654296875	-396.524047851562	-79.8767776489258	79.2187271118164	53.4546966552734	432.435882568359	-9.15450763702393	633.970703125	508.541961669922	-207.616714477539	24.6468105316162	-146.058303833008	46.4351196289062	-55.6215934753418
-1268.10107421875	-1127.70764160156	-34.7224273681641	-287.740417480469	718.2744140625	496.7666015625	337.321624755859	-414.069793701172	-55.0324859619141	88.7748947143555	30.425651550293	434.584991455078	-2.51960372924805	626.531433105469	475.468017578125	-178.996963500977	68.9739151000977	-150.308837890625	12.3819952011108	-50.3225479125977
-7081.88818359375	-1201.20263671875	-105.375068664551	-176.421722412109	594.214111328125	492.279357910156	320.619750976562	-424.317901611328	10.1982564926147	92.6762161254883	44.8398551940918	460.089813232422	14.9003763198853	629.970520019531	467.248016357422	-161.62971496582	96.7365493774414	-129.648696899414	-27.2342281341553	-6.42107677459717
-17710.2421875	-1206.54724121094	-212.234313964844	-135.269866943359	488.007629394531	522.725646972656	314.416839599609	-393.309631347656	36.9323539733887	114.003761291504	-20.0455951690674	492.245666503906	35.3707580566406	641.666015625	449.11669921875	-111.278594970703	83.2672805786133	-140.837249755859	-10.8973236083984	4.72269630432129
-33552.37109375	-1236.95056152344	-325.651275634766	-108.124160766602	348.164947509766	499.665069580078	332.764984130859	-346.970825195312	18.3922214508057	81.424690246582	-24.2113437652588	500.949401855469	-6.43310356140137	653.181335449219	445.304077148438	-107.966178894043	102.179550170898	-113.143630981445	-32.5883750915527	1.02671301364899
-52169.78125	-1124.54919433594	-439.772796630859	-76.3457260131836	237.896438598633	473.215301513672	307.684020996094	-324.353179931641	53.7674293518066	52.8623046875	-16.5781173706055	458.759399414062	-33.3684387207031	644.885681152344	437.475128173828	-104.967269897461	116.02759552002	-147.108596801758	-43.8372497558594	9.28623962402344
-61727.03125	-1904.86743164062	-560.167358398438	-41.3027725219727	152.134704589844	458.352203369141	298.398345947266	-291.330932617188	51.1832695007324	108.445930480957	-65.7582321166992	443.677124023438	-107.358863830566	651.796203613281	380.168762207031	-74.4557952880859	98.6132736206055	-184.716262817383	-40.5610733032227	4.31323862075806
-57832.9453125	-3113.18359375	-687.569396972656	-50.6281318664551	59.4947395324707	406.419677734375	339.463562011719	-236.021484375	59.4338035583496	89.6026229858398	-79.8292388916016	452.758544921875	-172.642944335938	661.990844726562	415.460510253906	-65.9714660644531	100.443008422852	-137.657470703125	-62.6431198120117	7.88670253753662
-53982.37890625	-1596.10681152344	-822.018676757812	-38.6145401000977	-0.488231986761093	357.285919189453	297.809814453125	-242.774627685547	88.5456924438477	45.741828918457	-124.918380737305	431.287200927734	-203.75537109375	661.589294433594	436.828277587891	-66.2705841064453	117.973731994629	-136.420959472656	-44.8278961181641	5.25600433349609
-52956.33203125	1270.4970703125	-914.638488769531	-13.2224950790405	-85.6544723510742	316.220336914062	294.430725097656	-198.439758300781	53.371410369873	65.7580490112305	-132.088012695312	432.565277099609	-254.203338623047	671.117614746094	404.812805175781	-55.6896133422852	120.06623840332	-133.408386230469	-85.9974746704102	-14.3162002563477
-47838.28125	3354.9423828125	-955.60009765625	-26.2278499603271	-159.383071899414	255.1650390625	339.883972167969	-152.441909790039	23.9470176696777	39.7957229614258	-139.228317260742	467.673858642578	-270.881591796875	664.588195800781	399.414459228516	-36.2967681884766	108.925300598145	-79.2503509521484	-124.805450439453	-61.2529792785645
-44724.05859375	2017.7958984375	-957.084167480469	-35.2069053649902	-235.525680541992	211.156967163086	311.727966308594	-161.182418823242	18.8715190887451	-3.12122941017151	-176.156158447266	505.944213867188	-271.572143554688	648.8330078125	387.646484375	-38.7554779052734	124.072715759277	-74.3174438476562	-61.6648368835449	-89.4863433837891
-41960.07421875	-3972.07934570312	-923.120727539062	-107.154937744141	-357.720306396484	195.270217895508	294.987609863281	-127.520889282227	-5.26923847198486	-9.95983791351318	-169.963088989258	519.141723632812	-273.667755126953	659.06982421875	399.829315185547	26.6389980316162	135.363372802734	-64.0502777099609	-64.4230804443359	-75.8541564941406
-33426.57421875	-3376.83154296875	-835.953247070312	-219.062210083008	-451.089233398438	141.361358642578	288.206970214844	-123.27677154541	-26.1050567626953	-26.0252704620361	-162.843475341797	472.366912841797	-258.77783203125	659.977111816406	379.749572753906	64.2586212158203	91.1202239990234	-22.7899894714355	-65.5587844848633	-59.2305183410645
-23264.609375	6881.10595703125	-706.6826171875	-263.967712402344	-540.436279296875	86.2641067504883	249.684951782227	-104.118766784668	-40.8882865905762	-57.0340805053711	-170.648864746094	436.459289550781	-241.599578857422	644.986694335938	365.2607421875	33.7951889038086	78.6017379760742	-0.929738640785217	-41.4621887207031	-88.2758255004883
-16036.154296875	13979.0615234375	-568.690673828125	-203.931167602539	-637.072937011719	47.8004493713379	222.111312866211	-76.1660079956055	-31.6850910186768	-44.5176124572754	-215.318695068359	399.055725097656	-210.427932739258	657.316345214844	397.982177734375	49.2435111999512	93.338493347168	-4.20766878128052	-39.3445663452148	-105.834228515625
-15303.2998046875	11183.1162109375	-411.671264648438	-10.4044437408447	-703.155883789062	-8.24084281921387	227.729049682617	-98.296012878418	-42.7625541687012	-38.4343147277832	-205.336044311523	371.962982177734	-159.061676025391	650.486083984375	376.012390136719	38.622802734375	70.8554611206055	-2.0539755821228	-12.4050712585449	-107.612152099609
-18199.44140625	1323.09838867188	-238.371383666992	196.800918579102	-735.708190917969	-58.0919609069824	207.575012207031	-86.99951171875	-58.454761505127	-64.5720901489258	-173.188064575195	391.160522460938	-156.763961791992	646.508605957031	381.904388427734	21.8393669128418	66.1527328491211	4.35911178588867	-28.8367671966553	-121.879264831543
-18211.302734375	-7448.52197265625	-100.42699432373	299.639312744141	-724.188049316406	-95.6101379394531	168.900970458984	-83.0043029785156	-35.0776023864746	-41.7790832519531	-193.032653808594	399.089935302734	-171.972198486328	638.389404296875	382.567413330078	36.7042236328125	76.5944976806641	-7.07688570022583	-5.26404523849487	-126.943901062012
-13222.01171875	-10139.7548828125	60.5060539245605	304.422973632812	-688.460510253906	-171.571762084961	164.870025634766	-58.9750328063965	-43.4146499633789	-37.8049201965332	-177.618408203125	399.696746826172	-176.880599975586	632.549194335938	358.585723876953	38.5904846191406	84.7063140869141	-1.23893392086029	21.9252395629883	-145.202606201172
-1733.64514160156	-9984.916015625	245.176040649414	198.230010986328	-649.001831054688	-222.918045043945	135.142379760742	-24.9474639892578	-8.12933349609375	-53.853630065918	-171.967666625977	414.903381347656	-174.559204101562	643.853698730469	386.202178955078	34.0771064758301	73.8591079711914	-23.701868057251	-9.89543437957764	-104.285354614258
15664.666015625	-11773.966796875	343.453582763672	94.505500793457	-621.0205078125	-252.690933227539	123.992866516113	-60.6685485839844	-6.4366602897644	-60.5013885498047	-181.150909423828	446.101867675781	-174.906982421875	600.409912109375	349.879852294922	10.0732402801514	56.8156051635742	-36.1662712097168	22.7495059967041	-65.1924209594727
